input_name,search_name,matched_uri,match_count
"Acrocephalus orientalis","Acrocephalus orientalis","http://biodiversity.org.au/afd.taxon/729d4fff-3e86-4456-b77e-26ab264d835f",1
"Actitis hypoleucos","Actitis hypoleucos","http://biodiversity.org.au/afd.taxon/abeb5bf8-d03e-4b33-a1ea-bcfc0695102c",1
"Anous stolidus","Anous stolidus","http://biodiversity.org.au/afd.taxon/00cf9ec9-1cd2-4389-a1fc-a080ee3c81d6",1
"Anoxypristis cuspidata","Anoxypristis cuspidata","http://biodiversity.org.au/afd.taxon/a4f843bc-c592-48e7-bb32-7a305dea33b1",1
"Apus pacificus","Apus pacificus","http://biodiversity.org.au/afd.taxon/e2b6aed6-2f82-4b7c-9966-5ef2f9190bee",2
"Apus pacificus","Apus pacificus","http://biodiversity.org.au/afd.taxon/534e147d-efae-4cca-8ca7-689c832a971c",2
"Ardenna carneipes","Ardenna carneipes","http://biodiversity.org.au/afd.taxon/db8a3a39-1d47-4840-a77c-4ced27a2ad26",1
"Ardenna grisea","Ardenna grisea","http://biodiversity.org.au/afd.taxon/b3e019a8-14ef-4490-a1e9-0b9f04d53a75",1
"Ardenna pacifica","Ardenna pacifica","http://biodiversity.org.au/afd.taxon/5c372f0e-d257-4cdb-b558-f1383c53c3ee",1
"Ardenna tenuirostris","Ardenna tenuirostris","http://biodiversity.org.au/afd.taxon/f949f55c-63e5-499a-86c5-c4409cbf6373",1
"Arenaria interpres","Arenaria interpres","http://biodiversity.org.au/afd.taxon/2fa47871-3637-4b3a-bfd8-89750d53e8fa",1
"Balaenoptera bonaerensis","Balaenoptera bonaerensis","http://biodiversity.org.au/afd.taxon/c179befb-7c52-4009-8f40-b9dd8940f493",1
"Balaenoptera borealis","Balaenoptera borealis","http://biodiversity.org.au/afd.taxon/450bbdd2-cd50-4505-9466-15c1e24f7aa0",1
"Balaenoptera edeni","Balaenoptera edeni","http://biodiversity.org.au/afd.taxon/2f3ea648-36e2-4e5b-8d30-b6272a7efce4",1
"Balaenoptera musculus","Balaenoptera musculus","http://biodiversity.org.au/afd.taxon/a2a8fc54-88b7-4b1c-8f1b-ad15998322cd",1
"Balaenoptera omurai","Balaenoptera omurai","http://biodiversity.org.au/afd.taxon/ed8c4f24-87e0-4875-a1c0-08d1b0a509e0",1
"Balaenoptera physalus","Balaenoptera physalus","http://biodiversity.org.au/afd.taxon/4de14593-cecd-4216-af1b-6f9f3909dd25",1
"Bulweria bulwerii","Bulweria bulwerii","http://biodiversity.org.au/afd.taxon/57026f49-7348-48a4-895e-1ab655df3d2d",1
"Calidris acuminata","Calidris acuminata","http://biodiversity.org.au/afd.taxon/f452242f-5a35-4d5d-a141-7e2dfb9f176b",1
"Calidris alba","Calidris alba","http://biodiversity.org.au/afd.taxon/3b05d614-aca5-4d6e-b4b9-8bd7ac7f7ee6",2
"Calidris alba","Calidris alba","http://biodiversity.org.au/afd.taxon/e9d50d66-9328-443a-809b-d2fe5b000ecb",2
"Calidris canutus","Calidris canutus","http://biodiversity.org.au/afd.taxon/e2b8086f-fb5a-41ac-9003-d9aed827dfe3",3
"Calidris canutus","Calidris canutus","http://biodiversity.org.au/afd.taxon/b49087e4-7b4d-4689-9369-60d175f8fa68",3
"Calidris canutus","Calidris canutus","http://biodiversity.org.au/afd.taxon/55a3852a-7993-4e97-8a83-952db710a033",3
"Calidris falcinellus","Calidris falcinellus","http://biodiversity.org.au/afd.taxon/5e97f950-8fbd-4f4c-b996-76e6ce09ab27",1
"Calidris ferruginea","Calidris ferruginea","http://biodiversity.org.au/afd.taxon/e6ea1087-ce34-4cf8-be85-546a9d732965",1
"Calidris melanotos","Calidris melanotos","http://biodiversity.org.au/afd.taxon/a5b1896e-ef50-4571-ac94-7c1f1c031049",1
"Calidris pugnax","Calidris pugnax","http://biodiversity.org.au/afd.taxon/177fbe63-4e52-4dd1-9f05-cf64ab8c48c8",1
"Calidris ruficollis","Calidris ruficollis","http://biodiversity.org.au/afd.taxon/3d2396a0-b532-410a-87e7-d1fe3ab497f6",1
"Calidris subminuta","Calidris subminuta","http://biodiversity.org.au/afd.taxon/cbef5be9-829a-4691-9de4-125356441b1f",1
"Calidris tenuirostris","Calidris tenuirostris","http://biodiversity.org.au/afd.taxon/3e9c17c9-270f-4a74-9ed8-7ccabd575be9",1
"Calonectris leucomelas","Calonectris leucomelas","http://biodiversity.org.au/afd.taxon/3ce5a7e3-24fb-4054-9f18-a1effb88d5a8",1
"Caperea marginata","Caperea marginata","http://biodiversity.org.au/afd.taxon/4d92cf23-f867-4815-b28e-4f5a8f2827e0",1
"Carcharhinus falciformis","Carcharhinus falciformis","http://biodiversity.org.au/afd.taxon/e3a9fdc3-92ec-45fb-afae-2586f0876d2c",1
