Acrocephalus orientalis
Actitis hypoleucos
Anous stolidus
Anoxypristis cuspidata
Apus pacificus
Ardenna carneipes
Ardenna grisea
Ardenna pacifica
Ardenna tenuirostris
Arenaria interpres
Balaenoptera bonaerensis
Balaenoptera borealis
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera omurai
Balaenoptera physalus
Bulweria bulwerii
Calidris acuminata
Calidris alba
Calidris canutus
Calidris falcinellus
Calidris ferruginea
Calidris melanotos
Calidris pugnax
Calidris ruficollis
Calidris subminuta
Calidris tenuirostris
Calonectris leucomelas
Caperea marginata
Carcharhinus falciformis
Carcharhinus longimanus
Carcharias taurus
Carcharodon carcharias
Caretta caretta
Cecropis daurica
Cetorhinus maximus
Charadrius bicinctus
Charadrius dubius
Charadrius leschenaultii
Charadrius mongolus
Charadrius veredus
Chelonia mydas
Chlidonias leucopterus
Crocodylus porosus
Cuculus optatus
Dermochelys coriacea
Diomedea amsterdamensis
Diomedea antipodensis
Diomedea dabbenena
Diomedea epomophora
Diomedea exulans
Diomedea sanfordi
Dugong dugon
Eretmochelys imbricata
Eubalaena australis
Fregata andrewsi
Fregata ariel
Fregata minor
Gallinago hardwickii
Gallinago megala
Gallinago stenura
Gelochelidon nilotica
Glareola maldivarum
Hirundapus caudacutus
Hirundo rustica
Hydrobates matsudairae
Hydrobates monorhis
Hydroprogne caspia
Isurus oxyrinchus
Isurus paucus
Lagenodelphis hosei SE Asian population
Lagenorhynchus obscurus
Lamna nasus
Lepidochelys olivacea
Limnodromus semipalmatus
Limosa lapponica
Limosa limosa
Macronectes giganteus
Macronectes halli
Megaptera novaeangliae
Mobula alfredi
Mobula birostris
Mobula eregoodoo
Mobula mobular
Mobula thurstoni
Motacilla cinerea
Motacilla flava
Natator depressus
Numenius madagascariensis
Numenius minutus
Numenius phaeopus
Oceanites oceanicus
Onychoprion anaethetus
Orcaella heinsohni
Orcinus orca
Pandion haliaetus
Phaethon lepturus
Phaethon rubricauda
Phalaropus lobatus
Phocoena dioptrica
Phoebastria immutabilis
Phoebetria fusca
Phoebetria palpebrata
Physeter macrocephalus
Plegadis falcinellus
Pluvialis fulva
Pluvialis squatarola
Pristis clavata
Pristis pristis
Pristis zijsron
Procellaria aequinoctialis
Procellaria cinerea
Procellaria conspicillata
Procellaria parkinsoni
Procellaria westlandica
Rhincodon typus
Sousa sahulensis
Spatula querquedula
Stenella attenuata E Tropical Pacific, SE Asian populations
Stenella longirostris E Tropical Pacific, SE Asian populations
Stercorarius longicaudus
Stercorarius maccormicki
Stercorarius parasiticus
Stercorarius pomarinus
Sterna dougallii
Sterna hirundo
Sterna hirundo hirundo (Western Palearctic populations)
Sterna paradisaea (Atlantic populations)
Sterna sumatrana
Sternula albifrons
Sula dactylatra
Sula leucogaster
Sula sula
Thalassarche bulleri
Thalassarche carteri
Thalassarche cauta
Thalassarche chlororhynchos
Thalassarche chrysostoma
Thalassarche eremita
Thalassarche impavida
Thalassarche melanophris
Thalassarche salvini
Thalassarche steadi
Thalasseus bergii
Tringa brevipes
Tringa glareola
Tringa incana
Tringa nebularia
Tringa stagnatilis
Tringa totanus
Tursiops aduncus (Arafura/Timor Sea populations)
Xenus cinereus
