input_name,search_name,matched_uri,match_count
Acacia terminalis subsp. terminalis MS,Acacia terminalis subsp.,,0
Achyranthes margaretarum Critically,Achyranthes margaretarum,,0
Astrotricha sp. Howe Range (D.E. Albrecht 1054),Astrotricha sp.,,0
Austrostipa bronwenae,Austrostipa bronwenae,,0
Banksia imlayensis,Banksia imlayensis,,0
Bertya sp. Clouds Creek (M. Fatemi 4),Bertya sp.,,0
Bossiaea sp. Frankland (E.M. Sandiford EMS 896),Bossiaea sp.,,0
Cairnasichthys bitaeniatus,Cairnasichthys bitaeniatus,,0
Calamanthus pyrrhopygius parkeri,Calamanthus pyrrhopygius parkeri,,0
Calyptorhynchus baudinii,Calyptorhynchus baudinii,,0
Calyptorhynchus latirostris,Calyptorhynchus latirostris,,0
Carcharias taurus east coast population,Carcharias taurus east,,0
Carcharias taurus west coast population,Carcharias taurus west,,0
Casuarius casuarius johnsonii,Casuarius casuarius johnsonii,,0
Chaeropus ecaudatus and Chaeropus yirratji,Chaeropus ecaudatus and,,0
Dromaius novaehollandiae diemenensis,Dromaius novaehollandiae diemenensis,,0
Eremophila glabra subsp. Scaddan (C. Turley s.n. 10/11/2005),Eremophila glabra subsp.,,0
Erythroxylum sp. Cholmondely Creek (J.R. Clarkson 9367) (Northern Territory Population),Erythroxylum sp.,,0
Erythrura gouldiae,Erythrura gouldiae,,0
Euastacus sp.1 coughrani (McCormack & Fetzner),Euastacus sp.1 coughrani,,0
Eucalyptus x\sbalanites,Eucalyptus x\sbalanites,,0
Eucalyptus x\sphylacis,Eucalyptus x\sphylacis,,0
Eucalyptus impensa,Eucalyptus impensa,,0
Eucalyptus lateritica,Eucalyptus lateritica,,0
Eucalyptus paludicola,Eucalyptus paludicola,,0
Eucalyptus sp. Cattai (Gregson s.n.,Eucalyptus sp.,,0
Fontainea sp. Coffs Harbour (A.S. Benwell 341,Fontainea sp.,,0
Gadopsis sp. SWV,Gadopsis sp.,,0
Galaxias sp. nov. 'Hunter',Galaxias sp. nov.,,0
Galaxias sp. nov. 'Moroka',Galaxias sp. nov.,,0
Galaxias sp. nov. 'Morwell',Galaxias sp. nov.,,0
Galaxias sp. nov. 'Yalmy',Galaxias sp. nov.,,0
Galxias mcdowalli,Galxias mcdowalli,,0
Geocrinia alba,Geocrinia alba,,0
Geocrinia vitellina,Geocrinia vitellina,,0
Hypocalymma sp. Cascade (R. Bruhn 20896),Hypocalymma sp.,,0
Lagorchestes hirsutus central Australian subsp.,Lagorchestes hirsutus central,,0
Lagostrophus fasciatus albipilis,Lagostrophus fasciatus albipilis,,0
Lasiopetalum sp. Mount Caroline (S.D. Hopper SDH 6381),Lasiopetalum sp.,,0
Latrobea colophona,Latrobea colophona,,0
Lenwebbia sp. Main Range (P.R. Sharpe+4877),Lenwebbia sp.,,0
Leucopogon sp. Flynn (F.Hort,Leucopogon sp.,,0
Leucopogon sp. Ongerup (A.S. George 16682),Leucopogon sp.,,0
Marginaster littoralis,Marginaster littoralis,,0
Mathewsoconcha grayi ms.,Mathewsoconcha grayi ms.,,0
Mathewsoconcha phillipii,Mathewsoconcha phillipii,,0
Mathewsoconcha suteri,Mathewsoconcha suteri,,0
Melaleuca sp. Wanneroo (G.J. Keighery 16705),Melaleuca sp.,,0
Melanotaenia sp. nov. 'Malanda',Melanotaenia sp. nov.,,0
Melanotaenia sp. nov. 'Running River',Melanotaenia sp. nov.,,0
Meridolum maryae,Meridolum maryae,,0
Nereia lophocladia,Nereia lophocladia,,0
Nitella parooensis,Nitella parooensis,,0
Oreisplanus munionga larana,Oreisplanus munionga larana,,0
Perameles gunnii gunnii,Perameles gunnii gunnii,,0
Phascolarctos cinereus (combined populations of Queensland,Phascolarctos cinereus (combined,,0
Prasophyllum colemaniae,Prasophyllum colemaniae,,0
Prasophyllum littorale,Prasophyllum littorale,,0
Psephotus chrysopterygius,Psephotus chrysopterygius,,0
Psephotus pulcherrimus,Psephotus pulcherrimus,,0
Pseudocephalozia paludicola,Pseudocephalozia paludicola,,0
Pterodroma leucoptera leucoptera,Pterodroma leucoptera leucoptera,,0
Quintalia stoddartii,Quintalia stoddartii,,0
Semotrachia euzyga,Semotrachia euzyga,,0
Styphelia longissima Critically,Styphelia longissima,,0
Synaphea sp. Serpentine (G.R. Brand 103),Synaphea sp.,,0
Synaphea sp. Pinjarra Plain (A.S. George 17182),Synaphea sp.,,0
Thalassarche eremita,Thalassarche eremita,,0
Thelymitra orientalis Critically,Thelymitra orientalis,,0
Tympanocryptis maccartneyi,Tympanocryptis maccartneyi,,0
Typhonium taylori,Typhonium taylori,,0
Wollumbinia georgesi,Wollumbinia georgesi,,0
Vanvoorstia bennettiana,Vanvoorstia bennettiana,,0
Lychnothamnus barbatus,Lychnothamnus barbatus,,0
