Acacia terminalis subsp. terminalis MS
Acanthiza iredalei rosinae
Acanthiza lineata whitei
Acanthiza pusilla magnirostris
Acanthophis hawkei
Acanthornis magna greeniana
Accipiter hiogaster natalis
Achyranthes margaretarum Critically
Adclarkia cameroni
Adclarkia dawsonensis
Adclarkia dulacca
Advena campbellii
Aipysurus apraefrontalis
Aipysurus foliosquama
Aipysurus fuscus
Ammoniropa vigens
Amphiprion mccullochi
Amytornis barbatus barbatus
Amytornis dorotheae
Amytornis merrotsyi merrotsyi
Amytornis merrotsyi pedleri
Amytornis modestus
Amytornis modestus obscurior
Amytornis striatus howei
Amytornis striatus striatus
Amytornis textilis myall
Amytornis woodwardi
Anilios insperatus
Anomalopus mackayi
Anous tenuirostris melanops
Antechinus argentus
Antechinus arktos
Antechinus bellus
Antechinus minimus maritimus
Anthochaera chrysoptera halmaturina
Anthochaera phrygia
Antipodia chaostola leucophaea
Aphelocephala leucopsis
Aplonis fusca
Aprasia aurita
Aprasia parapulchella
Aprasia pseudopulchella
Aquila audax fleayi
Arctocephalus tropicalis
Ardenna grisea
Arenaria interpres
Argynnis hyperbius inconstans
Assa darlingtoni
Assa wollumbin
Astacopsis gouldi
Astrotricha sp. Howe Range (D.E. Albrecht 1054)
Atrichornis clamosus
Atrichornis rufescens
Austroablepharus barrylyoni
Austrocordulia leonardi
Austrostipa bronwenae
Balaenoptera borealis
Balaenoptera musculus
Balaenoptera physalus
Banksia imlayensis
Bellatorias obiri
Bertmainius colonus
Bertmainius tingle
Bertya sp. Clouds Creek (M. Fatemi 4)
Bettongia anhydra
Bettongia gaimardi gaimardi
Bettongia lesueur Barrow and Boodie Islands subsp.
Bettongia lesueur graii
Bettongia lesueur lesueur
Bettongia penicillata ogilbyi
Bettongia penicillata penicillate
Bettongia pusilla
Bettongia tropica
Bidyanus bidyanus
Bossiaea sp. Frankland (E.M. Sandiford EMS 896)
Botaurus poiciloptilus
Brachionichthys hirsutus
Brachiopsilus ziebelli
Burramys parvus
Cairnasichthys bitaeniatus
Cairnsichthys rhombosomoides
Calamanthus pyrrhopygius parkeri
Calidris acuminata
Calidris canutus
Calidris ferruginea
Calidris tenuirostris
Callocephalon fimbriatum
Caloprymnus campestris
Calyptorhynchus banksii graptogyne
Calyptorhynchus banksii naso
Calyptorhynchus baudinii
Calyptorhynchus lathami halmaturinus
Calyptorhynchus lathami lathami
Calyptorhynchus latirostris
Carcharias taurus east coast population
Carcharias taurus west coast population
Carcharodon carcharias
Caretta caretta
Carettochelys insculpta
Carinascincus greenei
Carinascincus microlepidotus
Carinascincus orocryptus
Carinascincus palfreymani
Casuarius casuarius johnsonii
Centrophorus uyato
Centrophorus harrissoni
Cereopsis novaehollandiae grisea
Ceyx azureus diemenensis
Chaeropus ecaudatus and Chaeropus yirratji
Chalcophaps indica natalis
Chalinolobus dwyeri
Charadrius leschenaultii
Charadrius mongolus
Chelonia mydas
Cherax robustus
Cherax tenuimanus
Chlamydogobius gloveri
Chlamydogobius micropterus
Chlamydogobius squamigenus
Christinus guentheri
Cinclosoma punctatum anachoreta
Climacteris picumnus victoriae
Coeranoscincus reticulatus
Columba vitiensis godmanae
Conilurus albipes
Conilurus capricornensis
Conilurus penicillatus
Cophixalus aenigma
Cophixalus concinnus
Cophixalus hosmeri
Cophixalus mcdonaldi
Cophixalus monticola
Cophixalus neglectus
Cormodes darwini
Craterocephalus dalhousiensis
Craterocephalus fluviatilis
Crinia sloanei
Crocidura trichura
Cryptoblepharus egeriae
Cryptoblepharus gurrmul
Ctenophorus yinnietharra
Ctenotus lancelini
Ctenotus serotinus
Ctenotus zastictus
Cyanoramphus cookii
Cyanoramphus novaezelandiae erythrotis
Cyanoramphus novaezelandiae subflavescens
Cyclodomorphus praealtus
Cyclopsitta diophthalma coxeni
Cyrtodactylus sadleiri
Dasyornis brachypterus
Dasyornis broadbenti litoralis
Dasyornis longirostris
Dasyuroides byrnei
Dasyurus geoffroii
Dasyurus hallucatus
Dasyurus maculatus gracilis
Dasyurus maculatus maculatus (Tasmanian population)
Dasyurus maculatus maculatus (southeastern mainland population)
Dasyurus viverrinus
Delma impar
Delma mitella
Delma torquata
Delma vescolineata
Dendronephthya australis
Denisonia maculata
Dermochelys coriacea
Diomedea amsterdamensis
Diomedea antipodensis
Diomedea antipodensis gibsoni
Diomedea dabbenena
Diomedea epomophora
Diomedea exulans
Diomedea sanfordi
Dromaius ater
Dromaius baudinianus
Dromaius novaehollandiae diemenensis
Dryococelus australis
Egernia roomi
Egernia rugosa
Egernia stokesii badia
Elseya albagula
Elseya irwini
Elseya lavarackorum
Elusor macrurus
Emoia nativitatis
Emydura subglobosa subglobosa
Engaeus granulatus
Engaeus martigener
Engaeus orramakunna
Engaeus spinicaudatus
Engaeus yabbimunna
Engaewa pseudoreducta
Engaewa reducta
Engaewa walpolea
Epinephelus daemelii
Epthianura crocea macgregori
Epthianura crocea tunneyi
Eremophila glabra subsp. Scaddan (C. Turley s.n. 10/11/2005)
Eretmochelys imbricata
Erythroxylum sp. Cholmondely Creek (J.R. Clarkson 9367) (Northern Territory Population)
Erythrura gouldiae
Euastacus angustus
Euastacus armatus
Euastacus balanensis
Euastacus bidawalus
Euastacus bindal
Euastacus binzayedi
Euastacus bispinosus
Euastacus clarkae
Euastacus dalagarbe
Euastacus dharawalus
Euastacus diversus
Euastacus eungella
Euastacus fleckeri
Euastacus gamilaroi
Euastacus girurmulayn
Euastacus gumar
Euastacus guruhgi
Euastacus guwinus
Euastacus hystricosus
Euastacus jagabar
Euastacus jagara
Euastacus maccai
Euastacus maidae
Euastacus mirangudjin
Euastacus monteithorum
Euastacus morgani
Euastacus polysetosus
Euastacus rieki
Euastacus robertsi
Euastacus simplex
Euastacus spinichelatus
Euastacus suttoni
Euastacus urospinosus
Euastacus vesper
Euastacus yigara
Euastacus sp.1 coughrani (McCormack & Fetzner)
Eubalaena australis
Eucalyptus x\sbalanites
Eucalyptus x\sphylacis
Eucalyptus impensa
